127.0.0.1 - - [08/Oct/2017:19:33:30 +0530] "GET / HTTP/1.1" 404 1073
0:0:0:0:0:0:0:1 - - [08/Oct/2017:19:33:32 +0530] "GET /ShoppingFrontend/cupcake.jsp HTTP/1.1" 200 3362
0:0:0:0:0:0:0:1 - - [08/Oct/2017:19:33:32 +0530] "GET /ShoppingFrontend/resources/images/aww_logo1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Oct/2017:19:33:32 +0530] "GET /ShoppingFrontend/resources/images/bread1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Oct/2017:19:33:32 +0530] "GET /ShoppingFrontend/resources/images/cake1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Oct/2017:19:33:32 +0530] "GET /ShoppingFrontend/resources/images/Pink.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Oct/2017:19:33:32 +0530] "GET /ShoppingFrontend/resources/images/cupcake2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Oct/2017:19:33:32 +0530] "GET /ShoppingFrontend/resources/images/cookies1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Oct/2017:19:33:32 +0530] "GET /ShoppingFrontend/resources/images/doughnuts.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Oct/2017:19:33:32 +0530] "GET /ShoppingFrontend/resources/images/cupcake1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Oct/2017:19:33:32 +0530] "GET /favicon.ico HTTP/1.1" 404 1084
0:0:0:0:0:0:0:1 - - [08/Oct/2017:19:34:37 +0530] "GET /ShoppingFrontend/index.jsp HTTP/1.1" 200 5027
0:0:0:0:0:0:0:1 - - [08/Oct/2017:19:34:37 +0530] "GET /ShoppingFrontend/resources/images/Bread.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Oct/2017:19:34:37 +0530] "GET /ShoppingFrontend/resources/images/cake.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Oct/2017:19:34:37 +0530] "GET /ShoppingFrontend/resources/images/cupcake.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Oct/2017:19:34:37 +0530] "GET /ShoppingFrontend/resources/images/cookies.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Oct/2017:19:34:37 +0530] "GET /ShoppingFrontend/resources/images/doughnut.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Oct/2017:19:34:37 +0530] "GET /ShoppingFrontend/resources/images/pastry.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Oct/2017:19:34:44 +0530] "GET /ShoppingFrontend/order.jsp HTTP/1.1" 200 2969
0:0:0:0:0:0:0:1 - - [08/Oct/2017:19:34:47 +0530] "GET /ShoppingFrontend/cupcake.jsp HTTP/1.1" 200 3362
0:0:0:0:0:0:0:1 - - [08/Oct/2017:19:37:25 +0530] "GET /ShoppingFrontend/order.jsp HTTP/1.1" 200 3285
0:0:0:0:0:0:0:1 - - [08/Oct/2017:19:42:16 +0530] "GET /ShoppingFrontend/order.jsp HTTP/1.1" 200 3297
0:0:0:0:0:0:0:1 - - [08/Oct/2017:19:45:07 +0530] "GET /ShoppingFrontend/order.jsp HTTP/1.1" 200 3312
0:0:0:0:0:0:0:1 - - [08/Oct/2017:19:45:07 +0530] "GET /ShoppingFrontend/resources/images/doughnt1.jpg HTTP/1.1" 404 1119
0:0:0:0:0:0:0:1 - - [08/Oct/2017:19:45:35 +0530] "GET /ShoppingFrontend/order.jsp HTTP/1.1" 200 3312
0:0:0:0:0:0:0:1 - - [08/Oct/2017:19:45:35 +0530] "GET /ShoppingFrontend/resources/images/doughnts.jpg HTTP/1.1" 404 1119
0:0:0:0:0:0:0:1 - - [08/Oct/2017:19:45:37 +0530] "GET /ShoppingFrontend/order.jsp HTTP/1.1" 200 3312
0:0:0:0:0:0:0:1 - - [08/Oct/2017:19:45:37 +0530] "GET /ShoppingFrontend/resources/images/doughnts.jpg HTTP/1.1" 404 1119
0:0:0:0:0:0:0:1 - - [08/Oct/2017:19:45:53 +0530] "GET /ShoppingFrontend/order.jsp HTTP/1.1" 200 3313
0:0:0:0:0:0:0:1 - - [08/Oct/2017:19:46:25 +0530] "GET /ShoppingFrontend/order.jsp HTTP/1.1" 200 3303
0:0:0:0:0:0:0:1 - - [08/Oct/2017:19:46:53 +0530] "GET /ShoppingFrontend/order.jsp HTTP/1.1" 200 3313
0:0:0:0:0:0:0:1 - - [08/Oct/2017:19:48:13 +0530] "GET /ShoppingFrontend/index.jsp HTTP/1.1" 200 5034
0:0:0:0:0:0:0:1 - - [08/Oct/2017:19:48:18 +0530] "GET /ShoppingFrontend/index.jsp HTTP/1.1" 200 5034
0:0:0:0:0:0:0:1 - - [08/Oct/2017:19:48:19 +0530] "GET /ShoppingFrontend/order.jsp HTTP/1.1" 200 3313
0:0:0:0:0:0:0:1 - - [08/Oct/2017:19:51:23 +0530] "GET /ShoppingFrontend/order.jsp HTTP/1.1" 200 3313
0:0:0:0:0:0:0:1 - - [08/Oct/2017:19:51:25 +0530] "GET /ShoppingFrontend/cupcake.jsp HTTP/1.1" 200 3362
0:0:0:0:0:0:0:1 - - [08/Oct/2017:19:52:26 +0530] "GET /ShoppingFrontend/cupcake.jsp HTTP/1.1" 200 3398
0:0:0:0:0:0:0:1 - - [08/Oct/2017:19:53:07 +0530] "GET /ShoppingFrontend/cupcake.jsp HTTP/1.1" 200 3398
0:0:0:0:0:0:0:1 - - [08/Oct/2017:19:53:34 +0530] "GET /ShoppingFrontend/cupcake.jsp HTTP/1.1" 200 3319
0:0:0:0:0:0:0:1 - - [08/Oct/2017:19:56:15 +0530] "GET /ShoppingFrontend/cupcake.jsp HTTP/1.1" 200 3326
0:0:0:0:0:0:0:1 - - [08/Oct/2017:19:56:43 +0530] "GET /ShoppingFrontend/cupcake.jsp HTTP/1.1" 200 3337
0:0:0:0:0:0:0:1 - - [08/Oct/2017:20:01:45 +0530] "GET /ShoppingFrontend/cupcake.jsp HTTP/1.1" 200 3384
0:0:0:0:0:0:0:1 - - [08/Oct/2017:20:03:21 +0530] "GET /ShoppingFrontend/cupcake.jsp HTTP/1.1" 200 3408
0:0:0:0:0:0:0:1 - - [08/Oct/2017:20:03:23 +0530] "GET /ShoppingFrontend/cupcake.jsp HTTP/1.1" 200 3408
0:0:0:0:0:0:0:1 - - [08/Oct/2017:20:03:24 +0530] "GET /ShoppingFrontend/cupcake.jsp HTTP/1.1" 200 3408
0:0:0:0:0:0:0:1 - - [08/Oct/2017:20:03:24 +0530] "GET /ShoppingFrontend/cupcake.jsp HTTP/1.1" 200 3408
0:0:0:0:0:0:0:1 - - [08/Oct/2017:20:03:54 +0530] "GET /ShoppingFrontend/cupcake.jsp HTTP/1.1" 200 3328
0:0:0:0:0:0:0:1 - - [08/Oct/2017:20:07:17 +0530] "GET /ShoppingFrontend/cupcake.jsp HTTP/1.1" 200 3304
0:0:0:0:0:0:0:1 - - [08/Oct/2017:20:20:38 +0530] "GET /ShoppingFrontend/cupcake.jsp HTTP/1.1" 200 3564
0:0:0:0:0:0:0:1 - - [08/Oct/2017:20:22:06 +0530] "GET /ShoppingFrontend/cupcake.jsp HTTP/1.1" 200 3598
0:0:0:0:0:0:0:1 - - [08/Oct/2017:20:23:03 +0530] "GET /ShoppingFrontend/cupcake.jsp HTTP/1.1" 200 3467
0:0:0:0:0:0:0:1 - - [08/Oct/2017:20:24:03 +0530] "GET /ShoppingFrontend/cupcake.jsp HTTP/1.1" 200 3533
0:0:0:0:0:0:0:1 - - [08/Oct/2017:22:03:11 +0530] "GET /ShoppingFrontend/cupcake.jsp HTTP/1.1" 200 4212
0:0:0:0:0:0:0:1 - - [08/Oct/2017:22:03:11 +0530] "GET /ShoppingFrontend/resources/images/vanilla.jpg HTTP/1.1" 404 1118
