127.0.0.1 - - [13/Nov/2017:19:26:54 +0530] "GET / HTTP/1.1" 404 1073
0:0:0:0:0:0:0:1 - - [13/Nov/2017:19:27:03 +0530] "GET /ShoppingFrontend/ HTTP/1.1" 200 5064
0:0:0:0:0:0:0:1 - - [13/Nov/2017:19:27:04 +0530] "GET /ShoppingFrontend/resources/images/aww_logo1.png HTTP/1.1" 200 6610
0:0:0:0:0:0:0:1 - - [13/Nov/2017:19:27:04 +0530] "GET /ShoppingFrontend/resources/images/cupcake.jpg HTTP/1.1" 200 35659
0:0:0:0:0:0:0:1 - - [13/Nov/2017:19:27:04 +0530] "GET /ShoppingFrontend/resources/images/cake.jpg HTTP/1.1" 200 59707
0:0:0:0:0:0:0:1 - - [13/Nov/2017:19:27:04 +0530] "GET /ShoppingFrontend/resources/images/doughnut.jpg HTTP/1.1" 200 14154
0:0:0:0:0:0:0:1 - - [13/Nov/2017:19:27:04 +0530] "GET /ShoppingFrontend/resources/images/cake1.jpg HTTP/1.1" 200 16489
0:0:0:0:0:0:0:1 - - [13/Nov/2017:19:27:04 +0530] "GET /ShoppingFrontend/resources/images/cookies1.jpg HTTP/1.1" 200 189849
0:0:0:0:0:0:0:1 - - [13/Nov/2017:19:27:04 +0530] "GET /ShoppingFrontend/resources/images/bread1.jpg HTTP/1.1" 200 71905
0:0:0:0:0:0:0:1 - - [13/Nov/2017:19:27:04 +0530] "GET /ShoppingFrontend/resources/images/pastry.jpg HTTP/1.1" 200 77764
0:0:0:0:0:0:0:1 - - [13/Nov/2017:19:27:04 +0530] "GET /ShoppingFrontend/resources/images/cookies.jpg HTTP/1.1" 200 493264
0:0:0:0:0:0:0:1 - - [13/Nov/2017:19:27:04 +0530] "GET /ShoppingFrontend/resources/images/Pink.jpg HTTP/1.1" 200 558111
0:0:0:0:0:0:0:1 - - [13/Nov/2017:19:27:05 +0530] "GET /ShoppingFrontend/resources/images/Bread.jpg HTTP/1.1" 200 4195847
0:0:0:0:0:0:0:1 - - [13/Nov/2017:19:27:05 +0530] "GET /favicon.ico HTTP/1.1" 404 1084
0:0:0:0:0:0:0:1 - - [13/Nov/2017:19:27:17 +0530] "GET /ShoppingFrontend/admin/Category/save HTTP/1.1" 405 1109
0:0:0:0:0:0:0:1 - - [13/Nov/2017:19:29:42 +0530] "GET /ShoppingFrontend/admin/Category/save HTTP/1.1" 405 1109
0:0:0:0:0:0:0:1 - - [13/Nov/2017:19:29:51 +0530] "GET /ShoppingFrontend/ HTTP/1.1" 200 5064
0:0:0:0:0:0:0:1 - - [13/Nov/2017:19:29:51 +0530] "GET /ShoppingFrontend/ HTTP/1.1" 200 5064
0:0:0:0:0:0:0:1 - - [13/Nov/2017:19:29:52 +0530] "GET /ShoppingFrontend/ HTTP/1.1" 200 5064
0:0:0:0:0:0:0:1 - - [13/Nov/2017:19:29:52 +0530] "GET /ShoppingFrontend/ HTTP/1.1" 200 5064
0:0:0:0:0:0:0:1 - - [13/Nov/2017:19:29:52 +0530] "GET /ShoppingFrontend/ HTTP/1.1" 200 5064
0:0:0:0:0:0:0:1 - - [13/Nov/2017:19:29:52 +0530] "GET /ShoppingFrontend/admin/Category/save HTTP/1.1" 500 12014
0:0:0:0:0:0:0:1 - - [13/Nov/2017:19:29:59 +0530] "GET /ShoppingFrontend/admin/Category/save HTTP/1.1" 500 12014
0:0:0:0:0:0:0:1 - - [13/Nov/2017:19:31:19 +0530] "GET /ShoppingFrontend/admin/Category/save HTTP/1.1" 405 1109
